Start,End,Sequence,Length,Color
0[223],2[210],??????????????????????????????????????????,42,#f7931e
32[125],34[112],??????????????????????????????????????????,42,#7300de
1[112],5[125],??????????????????????????????????????????,42,#888888
30[97],32[84],??????????????????????????????????????????,42,#007200
30[223],32[210],??????????????????????????????????????????,42,#f74308
31[112],35[125],??????????????????????????????????????????,42,#cc0000
21[98],19[111],??????????????????????????????????????????,42,#b8056c
23[42],21[55],??????????????????????????????????????????,42,#03b6a2
23[168],21[181],??????????????????????????????????????????,42,#cc0000
26[237],24[224],??????????????????????????????????????????,42,#333333
4[69],0[56],??????????????????????????????????????????,42,#03b6a2
14[209],16[196],??????????????????????????????????????????,42,#333333
19[70],23[83],??????????????????????????????????????????,42,#03b6a2
11[126],9[139],??????????????????????????????????????????,42,#cc0000
2[167],4[154],??????????????????????????????????????????,42,#cc0000
21[140],19[153],??????????????????????????????????????????,42,#f7931e
33[56],31[69],??????????????????????????????????????????,42,#888888
32[167],34[154],??????????????????????????????????????????,42,#333333
35[168],33[181],??????????????????????????????????????????,42,#cc0000
22[153],18[140],??????????????????????????????????????????,42,#03b6a2
10[111],6[98],??????????????????????????????????????????,42,#03b6a2
34[69],30[56],??????????????????????????????????????????,42,#1700de
34[195],30[182],??????????????????????????????????????????,42,#1700de
15[224],17[237],??????????????????????????????????????????,42,#aaaa00
8[83],10[70],??????????????????????????????????????????,42,#cc0000
17[168],15[181],??????????????????????????????????????????,42,#1700de
18[97],20[84],??????????????????????????????????????????,42,#007200
12[181],14[168],??????????????????????????????????????????,42,#aaaa00
5[126],3[139],??????????????????????????????????????????,42,#57bb00
14[237],12[224],??????????????????????????????????????????,42,#57bb00
1[154],5[167],??????????????????????????????????????????,42,#03b6a2
8[167],10[154],??????????????????????????????????????????,42,#333333
35[210],33[223],??????????????????????????????????????????,42,#aaaa00
27[56],25[69],??????????????????????????????????????????,42,#03b6a2
31[154],35[167],??????????????????????????????????????????,42,#888888
24[97],26[84],??????????????????????????????????????????,42,#aaaa00
23[84],21[97],??????????????????????????????????????????,42,#7300de
23[210],21[223],??????????????????????????????????????????,42,#57bb00
0[55],2[42],??????????????????????????????????????????,42,#888888
4[111],0[98],??????????????????????????????????????????,42,#aaaa00
2[125],4[112],??????????????????????????????????????????,42,#aaaa00
19[112],23[125],??????????????????????????????????????????,42,#03b6a2
11[168],9[181],??????????????????????????????????????????,42,#aaaa00
2[83],4[70],??????????????????????????????????????????,42,#03b6a2
2[209],4[196],??????????????????????????????????????????,42,#cc0000
12[223],14[210],??????????????????????????????????????????,42,#f7931e
3[224],5[237],??????????????????????????????????????????,42,#cc0000
32[83],34[70],??????????????????????????????????????????,42,#f74308
32[209],34[196],??????????????????????????????????????????,42,#f7931e
1[70],5[83],??????????????????????????????????????????,42,#007200
1[196],5[209],??????????????????????????????????????????,42,#aaaa00
16[69],12[56],??????????????????????????????????????????,42,#f74308
22[195],18[182],??????????????????????????????????????????,42,#7300de
10[153],6[140],??????????????????????????????????????????,42,#7300de
30[181],32[168],??????????????????????????????????????????,42,#f7931e
31[70],35[83],??????????????????????????????????????????,42,#7300de
34[111],30[98],??????????????????????????????????????????,42,#57bb00
21[182],19[195],??????????????????????????????????????????,42,#333333
4[153],0[140],??????????????????????????????????????????,42,#b8056c
8[125],10[112],??????????????????????????????????????????,42,#b8056c
11[84],9[97],??????????????????????????????????????????,42,#888888
17[210],15[223],??????????????????????????????????????????,42,#333333
